compound_id,Original_Entry_ID,Entrez_ID,Activity_Flag,PXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate
IVYZHWRIIPQLOI-QWRGUYRKNA-N,CHEMBL2380393,4322,A,5.47,chembl20,959633,9606,MMP13,2676,O=S(=O)(N[C@H]1CCC[C@@H]1S)C2=CC=CC=C2,O=S(=O)(N[C@H]1CCC[C@@H]1S)c1ccccc1,5.47,,0.0,0
HMZQHVKIUXWVCZ-WYUMXYHSNA-N,CHEMBL1939861,4322,N,4.01,chembl20,799144,9606,MMP13,2676,OS(=NC=1C=C2C=C(NC2=CC1)C(OCC)=O)(=O)C,CCOC(=O)c1cc2cc(N=S(C)(=O)O)ccc2[nH]1,4.01,,0.0,0
HLIACYSTIJITSD-CMDGGOBGNA-N,CHEMBL473313,4322,N,4.9,chembl20,518658,9606,MMP13,2676,C\1=CC=CN(/C1=C/2\C(N(C(S2)=S)CC)=O)C,CCN1C(=O)/C(=C2/C=CC=CN2C)SC1=S,4.9,,0.0,0
HESNUJSXTQZPIZ-UHFFFAOYNA-N,CHEMBL1939870,4322,N,4.09,chembl20,799144,9606,MMP13,2676,C1(=CC2=C(C=C1)NC(C(=O)OCC)=C2)C3=CC=NC=C3,CCOC(=O)c1cc2cc(-c3ccncc3)ccc2[nH]1,4.09,,0.0,0
PLTMSQOTVPPEEH-WYUMXYHSNA-N,CHEMBL1796288,4322,N,3.0,chembl20,754229,9606,MMP13,2676,C1=C(C(=O)NCC2=CC=NC=C2)C=CC(=C1)OC,COc1ccc(C(=O)NCc2ccncc2)cc1,3.0,,0.0,0
XJUQEFFNMKAWSV-UHFFFAOYNA-N,CHEMBL176319,4322,A,7.35,chembl20,106484,9606,MMP13,2676,S(C1=CC=C(C=C1)OC)(CCC(S)CCCC)(=O)=O,CCCCC(S)CCS(=O)(=O)c1ccc(OC)cc1,7.35,,0.0,0
OMZKWXAFDODBPH-NLVQTBMLNA-N,CHEMBL298647,4322,A,6.34,chembl20,106480,9606,MMP13,2676,C1(N(CC2=C(N1)C=CC=C2Cl)CC(O)=NO)=O,O=C1Nc2cccc(Cl)c2CN1CC(O)=NO,6.34,,0.0,0
NAMZXOAZPHMVHE-YAQRNVERNA-N,CHEMBL1916641,4322,A,6.74,chembl20,788431,9606,MMP13,2676,O=S(C1=CC=2C(C=C1)=CC=CC2)(NCC(O)=NO)=O,O=S(=O)(NCC(O)=NO)c1ccc2ccccc2c1,6.74,,0.0,0
NPIPEGMWIPYGFS-YHMJCDSINA-N,CHEMBL1939865,4322,N,4.51,chembl20,799144,9606,MMP13,2676,C=1(C=C2C=C(C(=O)OCC)NC2=CC1)NC(C)=O,CCOC(=O)c1cc2cc(NC(C)=O)ccc2[nH]1,4.51,,0.0,0
NVJUVGMOOGFJLZ-UHFFFAOYNA-N,CHEMBL243236,4322,A,6.15,chembl20,442207,9606,MMP13,2676,C1(=CC=C(C=C1)S(N2CCCC(C2)S)(=O)=O)OCC#CC,CC#CCOc1ccc(S(=O)(=O)N2CCCC(S)C2)cc1,6.15,,0.0,0
LOJFRPMFTHNIRX-UHFFFAOYNA-N,CHEMBL1939869,4322,N,4.82,chembl20,799144,9606,MMP13,2676,C1(=CC2=C(C=C1)NC(C(=O)OCC)=C2)C=3C=NC=CC3,CCOC(=O)c1cc2cc(-c3cccnc3)ccc2[nH]1,4.82,,0.0,0
LMSMOBVZXAUSAU-YHMJCDSINA-N,CHEMBL114378,4322,A,7.77,chembl20,106600,9606,MMP13,2676,S(NC(C(O)=NO)(C)C)(C1=CC=C(C=C1)OC)(=O)=O,COc1ccc(S(=O)(=O)NC(C)(C)C(O)=NO)cc1,7.77,,0.0,0
MNAUWMOCDLCGGF-YHMJCDSINA-N,10732349,4322,A,6.30103,pubchem,109261,9606,MMP13,2676,ClC1=C2CN(S(=O)(=O)NC2=CC=C1)CC(O)=NO,O=S1(=O)Nc2cccc(Cl)c2CN1CC(O)=NO,6.30103,,0.0,0
VNCUHIXOCDBZGU-HCKMINDGNA-N,CHEMBL572980,4322,N,4.02,chembl20,592285,9606,MMP13,2676,C=1(C=CC(CCSCC(=O)O)=CC1)C2=CC=CC=C2,O=C(O)CSCCc1ccc(-c2ccccc2)cc1,4.02,,0.0,0
WEBZGXZPLFJJPD-HCKMINDGNA-N,CHEMBL436977,4322,A,5.09,chembl20,429673,9606,MMP13,2676,C=1(C=CC(=CC1)SC(C(=NO)O)CCCCCC)OC,CCCCCCC(Sc1ccc(OC)cc1)C(O)=NO,5.09,,0.0,0
WHHAEBOHMHRZGW-YAQRNVERNA-N,22004232,4322,A,8.1549,pubchem,736084,9606,MMP13,2676,S(=O)(=O)(NCC(O)=NO)C1=CC=C(OCCCC)C=C1,CCCCOc1ccc(S(=O)(=O)NCC(O)=NO)cc1,8.1549,,0.0,0
XMFWHLZTTUUQHL-WYUMXYHSNA-N,CHEMBL500351,4322,A,5.8,chembl20,518902,9606,MMP13,2676,C1=C(N=C(SCC2=CC=C(C=C2)OC)N=C1C)O,COc1ccc(CSc2nc(C)cc(O)n2)cc1,5.8,,0.0,0
XRLMAIWPTHLVKY-YAQRNVERNA-N,CHEMBL94715,4322,A,6.73,chembl20,106634,9606,MMP13,2676,S(NCC(O)=NO)(C1=CC=C(C=C1)OCC#CC)(=O)=O,CC#CCOc1ccc(S(=O)(=O)NCC(O)=NO)cc1,6.73,,0.0,0
XHCXISPZIHYKQD-JNCHPHNINA-N,CHEMBL270296,4322,N,4.26,chembl20,465800,9606,MMP13,2676,C1CC[C@H]([C@@H](C1)NC(P(O)(O)=O)=O)N,N[C@@H]1CCCC[C@H]1NC(=O)P(=O)(O)O,4.26,,0.0,0
UMMKKHNTWGSRFH-YENFCIRVNA-N,CHEMBL90057,4322,N,4.82,chembl20,106603,9606,MMP13,2676,S(CC(C(O)=NO)=N)(C1=CC=C(C=C1)OC)(O)=O,COc1ccc([SH](=O)(O)CC(=N)C(O)=NO)cc1,4.82,,0.0,0
UMPJRGAFFRSXRX-MHWRWJLKNA-N,CHEMBL504791,4322,A,5.77,chembl20,518658,9606,MMP13,2676,C1=C(C=CC(=C1)O)/N=C/C=2SC(=CC2)C3=CC=CS3,Oc1ccc(/N=C/c2ccc(-c3cccs3)s2)cc1,5.77,,0.0,0
QGVCPEQAAKTMNX-SECBINFHNA-N,44386229,4322,A,6.32331,pubchem,109265,9606,MMP13,2676,S(=O)(=O)(C[C@@H](CS)C)C1=CC=C(OC)C=C1,COc1ccc(S(=O)(=O)C[C@H](C)CS)cc1,6.32331,,0.0,0
QGVCPEQAAKTMNX-VIFPVBQENA-N,18396836,4322,A,6.60206,pubchem,109265,9606,MMP13,2676,S(=O)(=O)(C[C@H](CS)[C@@H3])C1=CC=C(OC)C=C1,COc1ccc(S(=O)(=O)C[C@@H](C)CS)cc1,6.60206,,0.0,0
USUOQRUQUMFGFY-UHFFFAOYNA-N,CHEMBL20287,4322,A,5.46,chembl20,106643,9606,MMP13,2676,C=1(NC(C(O)NO)=CC1C2=CC3=CC=CC=C3C=C2)O,ONC(O)c1cc(-c2ccc3ccccc3c2)c(O)[nH]1,5.46,,0.0,0
YQOQYXIGUJZYGD-KGCNKATMNA-N,CHEMBL180925,4322,A,6.41,chembl20,305127,9606,MMP13,2676,C1(C(NC(NC1=O)=O)=O)(OC2=CC=C(C=C2)Cl)C,CC1(Oc2ccc(Cl)cc2)C(=O)NC(=O)NC1=O,6.41,,0.0,0
CTVWOVYWOFCAMW-UHFFFAOYNA-N,10267279,4322,A,9.30103,pubchem,109265,9606,MMP13,2676,S(=O)(=O)(CCCS)C1=CC=C(OC2=CC=CC=C2)C=C1,O=S(=O)(CCCS)c1ccc(Oc2ccccc2)cc1,9.30103,,0.0,0
DFRHCKHXGKQVLI-WYUMXYHSNA-N,CHEMBL94386,4322,A,6.12,chembl20,106634,9606,MMP13,2676,S(N(CC(O)=NO)C)(C=1C=CC(=CC1)NCC#C)(=O)=O,C#CCNc1ccc(S(=O)(=O)N(C)CC(O)=NO)cc1,6.12,,0.0,0
BPAGZGRJYMKXTM-YAQRNVERNA-N,CHEMBL1939866,4322,N,3.66,chembl20,799144,9606,MMP13,2676,C=1(C=C2C=C(NC2=CC1)C3=NCCO3)NC(C)=O,CC(=O)Nc1ccc2[nH]c(C3=NCCO3)cc2c1,3.66,,0.0,0
BLIQFUCBRCDFAI-CYBMUJFWNA-N,CHEMBL389594,4322,A,5.92,chembl20,442207,9606,MMP13,2676,C1(=CC=C(C=C1)S(N2CC[C@H](C2)S)(=O)=O)OCC#CC,CC#CCOc1ccc(S(=O)(=O)N2CC[C@@H](S)C2)cc1,5.92,,0.0,0
BTMSEVQRJBBBAY-HCKMINDGNA-N,CHEMBL2337697,4322,A,9.19,chembl20,948652,9606,MMP13,2676,O(C1=CC=CC=C1)C=2N=CC(S(NCC(=NO)O)(=O)=O)=CC2,O=S(=O)(NCC(O)=NO)c1ccc(Oc2ccccc2)nc1,9.19,,0.0,0
YDQUJRRZUVGVRH-UHFFFAOYNA-N,19366819,4322,A,5.82391,pubchem,109265,9606,MMP13,2676,S(=O)(=O)(C(CCS)C1=CC=CC=C1)C2=CC=C(OC)C=C2,COc1ccc(S(=O)(=O)C(CCS)c2ccccc2)cc1,5.82391,,0.0,0
FOLNSFQIWULSJC-UHFFFAOYNA-N,56850408,4322,A,5.60206,pubchem,641696,9606,MMP13,2676,O(C(=O)C=1NC2=C(C=C(C=3N(C=NC3)C)C=C2)C1)CC,CCOC(=O)c1cc2cc(-c3cncn3C)ccc2[nH]1,5.60206,,0.0,0
FQZUGHBEAWJYRZ-HCKMINDGNA-N,CHEMBL80565,4322,A,6.85,chembl20,106627,9606,MMP13,2676,S(C(C(O)=NO)(CCC)CCC)(C=1C=CC(=CC1)OC)(=O)=O,CCCC(CCC)(C(O)=NO)S(=O)(=O)c1ccc(OC)cc1,6.85,,0.0,0
GJPCWHPIEKIIRL-HCKMINDGNA-N,CHEMBL1305329,4322,N,4.16,chembl20,799259,9606,MMP13,2676,ClC1=CC=C(CSC=2N=C3C(SC=C3)=C(O)N2)C=C1,Oc1nc(SCc2ccc(Cl)cc2)nc2ccsc12,4.16,,0.0,0
DQDPBMDGDOPPLK-WYUMXYHSNA-N,CHEMBL321556,4322,A,7.77,chembl20,442207,9606,MMP13,2676,S(N(CC(O)=NO)C)(C1=CC=C(C=C1)OCC#CC)(=O)=O,CC#CCOc1ccc(S(=O)(=O)N(C)CC(O)=NO)cc1,7.77,,0.0,0
DRJGTJFNBIMNKX-HCKMINDGNA-N,11483818,4322,A,7.74473,pubchem,281646,9606,MMP13,2676,S(O)(=C(CCCCCC)C(O)=NO)C1=CC=C(OC)C=C1,CCCCCCC(C(O)=NO)=S(O)c1ccc(OC)cc1,7.74473,,0.0,0
HFRJPVNBQJAJIX-HCKMINDGNA-N,CHEMBL116904,4322,A,7.31,chembl20,106600,9606,MMP13,2676,S(NC1(C(O)=NO)CCCCC1)(C=2C=CC(=CC2)OC)(=O)=O,COc1ccc(S(=O)(=O)NC2(C(O)=NO)CCCCC2)cc1,7.31,,0.0,0
LFIBBNGLBKGWGV-HCKMINDGNA-N,CHEMBL539787,4322,A,8.29,chembl20,106628,9606,MMP13,2676,S(N1C(C(O)=NO)CNCCC1)(C=2C=CC(=CC2)OC)(=O)=O,COc1ccc(S(=O)(=O)N2CCCNCC2C(O)=NO)cc1,8.29,,0.0,0
IVGHGMHNUBCTDC-YAQRNVERNA-N,CHEMBL1234724,4322,A,9.0,chembl20,694548,9606,MMP13,2676,O=S(=O)(N(CC(O)=NO)CCO)C1=CC=C(C=C1)OC,COc1ccc(S(=O)(=O)N(CCO)CC(O)=NO)cc1,9.0,,0.0,0
ILGSIIFHQGOKKV-LILDFLRNNA-N,11391583,4322,A,5.00043,pubchem,441107,9606,MMP13,2676,OC(CCC1=CC=C(C=C1)C2=CC=CC=C2)CC(=O)O,O=C(O)CC(O)CCc1ccc(-c2ccccc2)cc1,5.00043,,0.0,0
ILUVAAMGYFXXGD-UYBDAZJANA-N,CHEMBL222992,4322,A,5.7,chembl20,429672,9606,MMP13,2676,C=1(C=CC(SC(C(=NO)O)C2CCCCC2)=CC1)OCC#CC,CC#CCOc1ccc(SC(C(O)=NO)C2CCCCC2)cc1,5.7,,0.0,0
HXAROWWJPCDNRW-HCKMINDGNA-N,CHEMBL140788,4322,A,8.74,chembl20,106469,9606,MMP13,2676,S(N1C(C(O)=NO)CCCCC1)(C=2C=CC(=CC2)OC)(=O)=O,COc1ccc(S(=O)(=O)N2CCCCCC2C(O)=NO)cc1,8.74,,0.0,0
HIBWRSXXRMHOLM-UYBDAZJANA-N,CHEMBL223888,4322,A,5.7,chembl20,429672,9606,MMP13,2676,C=1(C=CC(SC(C(=NO)O)CCCCCC)=CC1)OCC#CC,CC#CCOc1ccc(SC(CCCCCC)C(O)=NO)cc1,5.7,,0.0,0
HKDAECHYHSQLRG-GPQMBLKYNA-N,CHEMBL473326,4322,A,6.04,chembl20,518902,9606,MMP13,2676,C=1C=C(C=CC1Cl)CSC=2N=C3C(=C(N2)O)CCC3,Oc1nc(SCc2ccc(Cl)cc2)nc2c1CCC2,6.04,,0.0,0
IQPNAANSBPBGFQ-UHFFFAOYNA-N,CHEMBL151,4322,N,5.0,chembl20,827438,9606,MMP13,2676,C1=2C(C=C(OC1=CC(=CC2O)O)C=3C=C(O)C(=CC3)O)=O,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,5.0,,0.0,0
PSHVQWWEFGYODS-HCKMINDGNA-N,CHEMBL572947,4322,N,4.02,chembl20,592285,9606,MMP13,2676,C=1(C=CC(CCS(=CC(=O)O)O)=CC1)C2=CC=CC=C2,O=C(O)C=S(O)CCc1ccc(-c2ccccc2)cc1,4.02,,0.0,0
PUHZDFFPMMUTIV-GPQMBLKYNA-N,CHEMBL1453397,4322,N,4.31,chembl20,799259,9606,MMP13,2676,S(C=1N=C2C(=C(O)N1)CCC2)CC3=CC(=CC=C3)C,Cc1cccc(CSc2nc(O)c3c(n2)CCC3)c1,4.31,,0.0,0
PDKYNJDOLOWNHI-WYUMXYHSNA-N,CHEMBL116348,4322,A,7.3,chembl20,106600,9606,MMP13,2676,S(NC1(C(O)=NO)CCCC1)(C=2C=CC(=CC2)OC)(=O)=O,COc1ccc(S(=O)(=O)NC2(C(O)=NO)CCCC2)cc1,7.3,,0.0,0
NQVJMMFATZALSN-YHMJCDSINA-N,CHEMBL2385488,4322,A,7.46,chembl20,960928,9606,MMP13,2676,S(O)(O)(N=CC(=NO)O)=CCC1=CC2=C(C=C1)OCO2,ON=C(O)C=N[SH](O)(O)=CCc1ccc2c(c1)OCO2,7.46,,0.0,0
RRXQHLQCQYPPMF-VRGMUVNCNA-N,CHEMBL448246,4322,A,5.89,chembl20,518902,9606,MMP13,2676,C=1C=C(C(CC(=O)O)C(=O)N)C=CC1OCCCCCC,CCCCCCOc1ccc(C(CC(=O)O)C(N)=O)cc1,5.89,,0.0,0
RLUGMDBAWBLDJQ-WYUMXYHSNA-N,CHEMBL94518,4322,A,7.08,chembl20,106634,9606,MMP13,2676,S(N(CC(O)=NO)C)(C1=CC=C(C=C1)SCC#CC)(=O)=O,CC#CCSc1ccc(S(=O)(=O)N(C)CC(O)=NO)cc1,7.08,,0.0,0
KMLHPTCEMLILLL-UHFFFAOYNA-N,CHEMBL172588,4322,A,9.0,chembl20,106484,9606,MMP13,2676,S(C(CC1=CC=CC=C1)CCS)(C2=CC=C(C=C2)OC)(=O)=O,COc1ccc(S(=O)(=O)C(CCS)Cc2ccccc2)cc1,9.0,,0.0,0
RLJYCZREXIWYAI-NPVYFSBINA-N,651441,4322,A,5.60206,pubchem,370629,9606,MMP13,2676,O=C1NC(=O)NC(=O)C1(C2CCCCC2)CCC3=CC=NC=C3,O=C1NC(=O)C(CCc2ccncc2)(C2CCCCC2)C(=O)N1,5.60206,,0.0,0
MRZSOAZZNSUPLS-WYUMXYHSNA-N,CHEMBL140568,4322,A,8.72,chembl20,106469,9606,MMP13,2676,S(N1C(C(O)=NO)CSCCC1)(C2=CC=C(C=C2)OC)(=O)=O,COc1ccc(S(=O)(=O)N2CCCSCC2C(O)=NO)cc1,8.72,,0.0,0
NDGWYSJFTMSGNY-WYUMXYHSNA-N,CHEMBL124680,4322,A,8.77,chembl20,106473,9606,MMP13,2676,S(N1C(C(O)=NO)CNCC1)(C=2C=CC(=CC2)OC)(=O)=O,COc1ccc(S(=O)(=O)N2CCNCC2C(O)=NO)cc1,8.77,,0.0,0
NKGRTRASISLCCZ-HCKMINDGNA-N,CHEMBL550148,4322,A,8.7,chembl20,960928,9606,MMP13,2676,C=1C(=CC=C(C1)C2=CC=CC=C2)S(=O)(=O)NCC(O)=NO,O=S(=O)(NCC(O)=NO)c1ccc(-c2ccccc2)cc1,8.7,,0.0,0
TUUMURVUDGZZQZ-OTNALKNANA-N,10613145,4322,A,7.74473,pubchem,107354,9606,MMP13,2676,S(=O)(=O)([C@@H](CCCC)CC(O)=NO)C1=CC=CC=C1,CCCC[C@@H](CC(O)=NO)S(=O)(=O)c1ccccc1,7.74473,,0.0,0
KUJQEQAVMNFFAO-GPQMBLKYNA-N,CHEMBL116757,4322,A,5.0,chembl20,106644,9606,MMP13,2676,C1=CC=C2C(=C1)C=C(O2)C(NCCCCN3CCOCC3)=O,O=C(NCCCCN1CCOCC1)c1cc2ccccc2o1,5.0,,0.0,0
OXQJGMFVFUDRGX-YHMJCDSINA-N,CHEMBL80413,4322,A,6.73,chembl20,106627,9606,MMP13,2676,S(=C(C(O)=NO)C(C)=C)(C1=CC=C(C=C1)OC)(O)O,C=C(C)C(C(O)=NO)=[SH](O)(O)c1ccc(OC)cc1,6.73,,0.0,0
LRYRCUJGWNCKPO-HCKMINDGNA-N,CHEMBL94363,4322,A,6.4,chembl20,106634,9606,MMP13,2676,S(NC(C(O)=NO)(C)C)(C1=CC=C(C=C1)OCC#CC)(=O)=O,CC#CCOc1ccc(S(=O)(=O)NC(C)(C)C(O)=NO)cc1,6.4,,0.0,0
TZHJNXZNYZBVDK-LILDFLRNNA-N,44626354,4322,A,5.42481,pubchem,441107,9606,MMP13,2676,OC(CCC1=CC=C(C=C1)C=2C=CN=CC2)CC(=O)O,O=C(O)CC(O)CCc1ccc(-c2ccncc2)cc1,5.42481,,0.0,0
NIXRYGOQIMPBMA-YAQRNVERNA-N,CHEMBL80412,4322,A,7.19,chembl20,106627,9606,MMP13,2676,S(=C(C(O)=NO)C=CCC)(C=1C=CC(=CC1)OC)(O)O,CCC=CC(C(O)=NO)=[SH](O)(O)c1ccc(OC)cc1,7.19,,0.0,0
XDKOSPFALAXPJO-UHFFFAOYNA-N,CHEMBL460515,4322,N,4.88,chembl20,518658,9606,MMP13,2676,C1=C(C=CC(O)=C1)N(C=2SC=C(N2)C3=CC=CC=C3)C,CN(c1ccc(O)cc1)c1nc(-c2ccccc2)cs1,4.88,,0.0,0
WFVYENBQHIIIQE-WYUMXYHSNA-N,CHEMBL140575,4322,A,9.3,chembl20,106469,9606,MMP13,2676,S(N1C(C(O)=NO)CCCC1)(C=2C=CC(=CC2)OC)(=O)=O,COc1ccc(S(=O)(=O)N2CCCCC2C(O)=NO)cc1,9.3,,0.0,0
XQJGASWZRFSCKP-WYUMXYHSNA-N,CHEMBL431057,4322,A,6.68,chembl20,106634,9606,MMP13,2676,S(N(CC(O)=NO)C)(C1=CC=C(C=C1)CCC#N)(=O)=O,CN(CC(O)=NO)S(=O)(=O)c1ccc(CCC#N)cc1,6.68,,0.0,0
